Tischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN DNR Hydstra #,H02039008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPCA Station ID,S004-364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Lab,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Flow,Temp,DO,DO,EC25,TDS,chloride,Turbidity,Transparency,TSS,TVS,T-Solids-calc,pH,ANC,ortho-P,TP,TN,NO3/NO2-N,NH4-N,DIN,fecal coliform,BOD,NOTES,,,,,,,,,,
Stream,Date,Time,condition,Qualitative Flow ,(cfs),(oC),(mg/L),% sat,uS/cm ,(mg/L),(mg/L), NTU,tube (cm),(mg/L),(mg/L),(mg/L),lab,mg CaCO3/L,(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(ug/L),(cfu/100ml),(mg/L),,METADATA NOTES:,,,,,,,,,
Tischer Creek,4/6/04,17:00,snow melt,S,124,3.7,N/A,N/A,260,170,46,10.4,80,10,N/A,180,N/A,N/A,10,40,957,404,58,462,52,N/A,op and fecal holding time exceeded,,,,,,,,,,
Tischer Creek,4/18/04,12:55,"0.64"" rain",R,14,4.3,12.81,98.70,325,199,61,23.4,N/A,25,N/A,224,N/A,N/A,20,60,830,308,133,441,300,N/A,op and fecal holding time exceeded,,,,,,,,,,
Tischer Creek,4/18/04,18:00,,R,81,4.5,12.89,99.90,266,176,50,148.0,N/A,298,N/A,474,N/A,N/A,20,330,909,283,209,492,1000,N/A,op and fecal holding time exceeded,,,,,,,,,,
Tischer Creek,5/17/04,8:47,"0.94"" rain 5/16-17",R,20,N/A,N/A,N/A,283,170,46,26.2,43,35,N/A,205,N/A,N/A,10,50,757,219,41,260,770,N/A,,,,,,,,,,,
Tischer Creek,5/30/04,14:05,"1.30"" rain",R,80,10.1,9.96,88.40,222,137,37,135.0,11,146,N/A,283,N/A,N/A,N/A,140,1064,425,55,480,N/A,N/A,"sampled on Sunday, no OP, fecals, or BOD",,,,,,,,,,
Tischer Creek,7/19/2004,8:50,"0.52"" rain",R,4,18.0,7.99,84.40,311,202,47,244.0,6,92,N/A,294,N/A,N/A,70,160,772,388,74,462,4700,N/A,,,,,,,,,,,
Tischer Creek,7/28/2004,09:00,low flow sample,R,4,16.4,7.44,76.10,509,308,78,3.3,>124,4,N/A,312,N/A,N/A,20,30,512,235,25,260,480,N/A,,,,,,,,,,,
Tischer Creek,7/29/2004,8:55,"0.69"" rain",R,4,17.0,8.12,84.10,332,210,51,119.0,11.8,26,N/A,236,N/A,N/A,40,150,502,243,35,278,4500,N/A,,,,,,,,,,,
Tischer Creek,8/11/2004,08:45,"0.37"" rain, 2.4"" in previous 5 days",R,9,11.9,10.25,95.80,282,192,40,19.2,22,19,N/A,211,N/A,N/A,20,90,686,151,17,168,2200,N/A,,,,,,,,,,,
Tischer Creek,9/15/2004,13:00,"0.91"" rain",R,9,13.9,8.70,84.10,197,155,30,124.0,9,124,N/A,279,N/A,N/A,30,280,588,241,50,291,6700,N/A,,,,,,,,,,,
Tischer Creek,9/21/2004,16:30,"0.65"" rain",R,8,16.4,8.70,88.30,296,206,42,54.0,11,54,N/A,260,N/A,N/A,40,90,606,161,17,178,6200,N/A,fecals and op holding time exceeded,,,,,,,,,,
Tischer Creek,10/1/2004,09:30,"0.8"" rain",R,17,13.6,N/A,N/A,212,129,28,112.0,14,112,N/A,241,N/A,N/A,40,280,1136,466,180,646,10000,N/A,,,,,,,,,,,
Tischer Creek,3/29/05,16:00,snow melt,S,N/A,1.2,14.02,98.80,671,386,158,91.9,16,102,N/A,488,N/A,N/A,20,190,1550,554,165,719,340,N/A,fecals and op holding time exceeded,,,,,,,,,,
Tischer Creek,3/30/05,15:30,"0.17"" rain, snow melt",S,4,0.8,14.73,102.90,664,366,163,236.0,7,218,N/A,584,N/A,N/A,20,340,1615,734,210,944,400,N/A,fecals and op holding time exceeded,,,,,,,,,,
Tischer Creek,4/4/05,15:45,snow melt,S,4,2.6,14.42,105.60,222,158,38,9.0,87,6,N/A,164,N/A,N/A,20,50,800,353,33,386,14,N/A,fecals and op holding time exceeded,,,,,,,,,,
Tischer Creek,4/6/05,9:30,"0.39"" rain, most snow now gone",S,102,1.8,15.50,N/A,195,92,32,20.9,46,38,N/A,130,N/A,N/A,10,100,843,316,34,350,30,N/A,,,,,,,,,,,
Tischer Creek,4/19/05,15:45,"0.47"" rain",R,17,12.5,9.81,92.30,371,222,71,97.3,14,70,N/A,292,N/A,N/A,30,170,654,424,88,512,830,N/A,fecals and op holding time exceeded,,,,,,,,,,
Tischer Creek,5/19/05,10:00,"1.0"" rain 5/18-19",R,153,10.2,10.91,98.70,260,175,38,18.9,47,37,N/A,212,N/A,N/A,10,70,654,133,24,157,250,N/A,,,,,,,,,,,
Tischer Creek,6/8/05,08:35,"0.61"" rain",R,134,10.1,10.51,93.40,186,138,30,111.0,9,148,N/A,286,N/A,N/A,40,250,659,249,74,323,10100,N/A,,,,,,,,,,,
Tischer Creek,6/20/05,,,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,43,1216,525,167,692,N/A,N/A,Hg sample,,,,,,,,,,
Tischer Creek,6/30/05,08:55,"1.16"" rain 6/29-30",R,117,16.1,9.76,99.10,274,195,31,32.2,25.9,51,N/A,246,N/A,N/A,N/A,70,707,53,21,74,3200,N/A,OP not analyzed,,,,,,,,,,
Tischer Creek,8/2/05,10:30,low flow sample,B,4,17.9,8.50,89.00,524,316,78,3.2,>124,1,N/A,317,N/A,N/A,10,30,658,370,18,388,200,N/A,,,,,,,,,,,
Tischer Creek,8/26/05,13:30,"0.55"" rain",R,8,17.1,8.35,86.70,211,N/A,N/A,831.0,3,,N/A,N/A,N/A,N/A,N/A,42,834,437,47,484,N/A,N/A,OP not analyzed,,,,,,,,,,
Tischer Creek,9/12/05,12:50,"1.52"" rain",R,33,19.7,8.11,88.60,178,132,32,121.0,14,121,N/A,253,N/A,N/A,N/A,250,795,397,139,536,27700,N/A,OP not analyzed,,,,,,,,,,
Tischer Creek,9/19/05,13:35,"0.73"" rain",R,10,15.4,8.68,86.90,202,180,29,918.0,4,372,N/A,552,N/A,N/A,10,530,743,273,35,308,35000,N/A,,,,,,,,,,,
Tischer Creek,10/4/05,10:10,"10/3=2.08"", 10/4=1.06"" rain",R,129,14.8,9.62,94.90,295,198,42,26.7,31,23,N/A,221,N/A,N/A,10,90,751,184,22,206,24000,N/A,,,,,,,,,,,
Tischer Creek,10/5/05,10:05,"1.07"" rain",R,608,11.2,9.94,90.40,225,151,34,31.0,26,48,N/A,199,N/A,N/A,20,110,831,272,22,294,8000,N/A,,,,,,,,,,,
Tischer Creek,3/27/06,12:45,snowmelt,S,7,2.9,14.76,109.70,769,480,186,7.6,82,4,N/A,484,N/A,N/A,10,30,923,514,61,575,33,N/A,fecals holding time exceeded,,,,,,,,,,
Tischer Creek,3/30/06,11:20,"snowmelt, 0.3"" rain",S,56,0.9,16.69,117.40,420,264,94,25.6,36.4,85,N/A,349,N/A,N/A,20,110,1440,710,165,875,80,N/A,,,,,,,,,,,
Tischer Creek,3/31/06,09:15,"snowmelt, 0.3"" rain",S,553,0.7,15.37,107.40,263,188,60,47.0,22,34,N/A,222,N/A,N/A,20,90,1527,794,158,952,180,N/A,,,,,,,,,,,
Tischer Creek,4/6/06,09:00,snowmelt,S,66,1.3,14.87,105.60,183,136,34,4.5,>120,4,N/A,140,N/A,N/A,10,40,815,354,40,394,20,N/A,,,,,,,,,,,
Tischer Creek,4/14/06,09:00,snowmelt,S,13,5.0,13.66,107.10,274,156,46,4.0,>120,2,N/A,158,N/A,N/A,7,10,642,202,13,215,25,N/A,,,,,,,,,,,
Tischer Creek,5/2/06,09:15,"1.25"" rain previous 3 days",R,50,8.6,11.10,95.20,296,,48,6.0,94,8,N/A,,N/A,N/A,4,,,123,12,135,58,N/A,OP LOD,,,,,,,,,,
Tischer Creek,5/9/06,09:15,"1"" rain",R,174,10.7,10.41,93.90,245,,39,137.0,12,205,N/A,,N/A,N/A,12,,,212,85,297,750,N/A,,,,,,,,,,,
Tischer Creek,5/30/06,09:00,"1.5"" rain 5/29",R,53,18.6,8.37,89.50,286,197,35,10.9,55,21,N/A,218,N/A,N/A,,50,825,66,11,77,1300,N/A,,,,,,,,,,,
Tischer Creek,6/5/06,08:45,"1.09"" rain",R,6,14.4,8.64,84.70,478,289,78,21.2,36,23,N/A,312,N/A,N/A,20,70,1350,544,170,714,2400,N/A,,,,,,,,,,,
Tischer Creek,8/1/06,08:45,"2.3"" rain previous 3 days",R,5,19.9,7.51,82.60,402,246,58,5.4,>120,2,N/A,248,N/A,N/A,,30,1015,3798,28,3826,TNTC,N/A,TNTC=to numerous to count,,,,,,,,,,
Tischer Creek,9/22/06,10:15,"1.9"" rain",R,6,12.1,8.98,83.60,225,154,34,44.9,20,40,N/A,194,N/A,N/A,40,100,949,485,84,569,60100,N/A,,,,,,,,,,,
Tischer Creek,10/17/06,10:15,"0.54"" rain on top of 2"" snow",R,7,8.1,11.76,99.80,383,208,63,12.9,55,3,,211,,,10,50,531,177,11,188,1300,,,,,,,,,,,,
Tischer Creek,11/28/06,9:00,"0.75"" rain",R,7,2.6,15.41,113.60,463,255,96,82.3,12,40,,295,,,10,150,698,,,,17000,,,,,,,,,,,,
Tischer Creek,3/26/07,14:30,snow melt hi temp = 72oF,S,,1.0,,,176,,,38.7,22.4,78,N/A,,N/A,N/A,,155,1055,305,52,357,,N/A,,,,,,,,,,,
Tischer Creek,3/30/07,09:15,"0.20"" rain on snow",S,,0.5,,,266,217,64,10.3,52,6,N/A,223,N/A,N/A,10,60,997,297,79,376,162,N/A,,,,,,,,,,,
